review_id,review_text
1,A couple of Computer Science units were poorly coordinated across different tutors. Some Computer Science modules felt outdated and there was too much overlap between units. There were enough online resources that I rarely needed to buy textbooks.
2,"I had to chase staff a few times to get my issue sorted. I had to chase staff a few times to get my issue sorted. Library staff were helpful, especially with referencing and databases."
3,The Computer Science modules were well-structured and the options let me specialise in software engineering. Printers were often broken when lots of people needed them. Some key books were always checked out when deadlines approached.
4,The campus facilities are modern and there are plenty of places to work between classes. There were enough online resources that I rarely needed to buy textbooks. Not all staff were consistent about deadlines and expectations. Some Business modules felt outdated and there was too much overlap between units. Some Sport Science modules felt outdated and there was too much overlap between units.
5,Accommodation felt secure and was decent value for what you get. A couple of clubs felt cliquey and I didn’t always feel included. Not all staff were consistent about deadlines and expectations. I liked the local area and it felt safe walking back after evening sessions. The location was a big plus: a busy city with good transport links. A couple of Data Science units were poorly coordinated across different tutors.
6,There wasn’t much to do on weeknights unless you travelled further out. The location felt a bit remote and buses stopped too early. Printers were often broken when lots of people needed them. My studio accommodation was clean and the common areas were well looked after. Accommodation felt secure and was decent value for what you get. Most staff were friendly and genuinely wanted students to do well.
7,"A few lectures felt rushed and the recordings were inconsistent. My private student housing was clean and the common areas were well looked after. The location felt a bit remote and buses stopped too early. Library staff were helpful, especially with referencing and databases."
8,Sports facilities were a highlight and helped with my routine. Some Sport Science modules felt outdated and there was too much overlap between units. A couple of Business units were poorly coordinated across different tutors. Societies were great and I made friends through the Chess society. There were enough online resources that I rarely needed to buy textbooks.
9,"The walls in my a shared house were thin, so noise travelled late at night. Joining societies helped a lot with settling in. Societies were great and I made friends through the Hiking society."
10,"A few study areas were noisy, especially near the café. Printing and Wi-Fi were unreliable at the worst possible times. Some key books were always checked out when deadlines approached. Printers were often broken when lots of people needed them. Admin emails sometimes took ages to get a clear response. Lab sessions were well run and I rarely felt stuck for long."
11,Support from staff during assessment weeks was really helpful. Printers were often broken when lots of people needed them. Some key books were always checked out when deadlines approached.
12,Printers were often broken when lots of people needed them. Printers were often broken when lots of people needed them. Maintenance requests were handled quickly in my studio accommodation. Joining societies helped a lot with settling in. Joining societies helped a lot with settling in. Printing and Wi-Fi were unreliable at the worst possible times.
13,There wasn’t much to do on weeknights unless you travelled further out. Joining societies helped a lot with settling in. Some Data Science modules felt outdated and there was too much overlap between units. Not all staff were consistent about deadlines and expectations.
14,The location felt a bit remote and buses stopped too early. Lab sessions were well run and I rarely felt stuck for long. My a shared house was clean and the common areas were well looked after. A couple of Mathematics units were poorly coordinated across different tutors. Societies were great and I made friends through the Drama society.
15,"The examples in class made concepts click for me. Seminars were interactive and the lecturers explained tricky ideas clearly. A few study areas were noisy, especially near the café. There wasn’t much to do on weeknights unless you travelled further out."
16,"The workload on Mathematics spiked around deadlines and it was hard to plan around it. My private student housing was clean and the common areas were well looked after. There were enough online resources that I rarely needed to buy textbooks. The gym gets overcrowded and some buildings could do with refurbishment. Some sessions assumed knowledge we hadn’t covered, which made it stressful."
17,I liked how the Sport Science course built up skills gradually across the year. I liked how the Computer Science course built up skills gradually across the year. I had to chase staff a few times to get my issue sorted.
18,"Maintenance requests were handled quickly in my halls. Printers were often broken when lots of people needed them. Some sessions assumed knowledge we hadn’t covered, which made it stressful. Printing and Wi-Fi were unreliable at the worst possible times."
19,The location was a big plus: a campus near the countryside with good transport links. Printing and Wi-Fi were unreliable at the worst possible times. A couple of clubs felt cliquey and I didn’t always feel included.
20,"There were enough online resources that I rarely needed to buy textbooks. Overall the Data Science content felt relevant, and the projects improved my confidence. The walls in my halls were thin, so noise travelled late at night. The walls in my studio accommodation were thin, so noise travelled late at night."
21,"Support from staff during assessment weeks was really helpful. My tutor was approachable and replies were quick when I needed advice. Overall the Mathematics content felt relevant, and the projects improved my confidence. Kitchen cleanliness was a constant battle in shared accommodation. The gym gets overcrowded and some buildings could do with refurbishment. A few study areas were noisy, especially near the café."
22,Events sometimes clashed with assessment deadlines. There were enough online resources that I rarely needed to buy textbooks. Most staff were friendly and genuinely wanted students to do well. Most staff were friendly and genuinely wanted students to do well.
